,Year,Month,Q,RF,XGBoost,GBDT
86,2017,11,0.0,21.24826430986,8.839472,25.9247096825809
87,2017,11,224.4743868,145.0175251331001,154.02098,60.93616785294107
88,2017,11,0.0,335.6703509822001,324.67474,195.43015219981473
89,2017,11,0.0,10.813616936799999,2.3924518,15.229729586949723
90,2017,11,0.0,2.55668681651,2.3924518,15.127828883232938
91,2017,11,11.05095719,14.976952227839986,18.224792,25.43790301833717
92,2017,11,0.0,11.541875446883331,13.842697,23.860162912997378
93,2017,11,2.737508803,30.345370011109985,29.986368,59.875172760550846
94,2017,11,5.894595017,9.217282015783343,13.253839,23.860162912997378
95,2017,11,2.133828215,1.4820571808499983,2.3410141,1.631812450438274
96,2017,11,10.65875773,10.38238526379933,8.981568,11.305085283928374
97,2017,11,0.0,2.9180341667033334,6.9032006,22.925964716576267
