,Year,Month,E,RF,XGBoost,GBDT
73,2016,11,3.17,9.413104431709973,3.3791003,2.107456858593165
74,2016,11,38.17,25.902923239890015,26.429441,14.461634259837188
75,2016,11,13.62,133.25690889224995,178.21942,84.96246073134303
76,2016,11,6.34,4.288235238849995,5.2892013,1.057581838201271
77,2016,11,0.0,0.3564,1.3164635,1.057581838201271
78,2016,11,13.28,8.687061344314989,7.7024093,1.1145405304566884
79,2016,11,7.74,24.721404988339987,5.795892,16.416221536741403
80,2016,11,0.0,14.976509317190002,9.119467,32.07093610720724
81,2016,11,0.0,2.9933610441600003,0.7251281,2.538677909278893
82,2016,11,0.0,3.208734090860001,3.0251887,7.441574170579971
83,2016,11,0.0,6.374680527479999,2.1633542,7.441574170579971
84,2016,11,23.21,36.55936519965001,22.128656,40.48928769005658
85,2016,11,4.38,124.96241656923993,60.60227,79.04580632070001
86,2017,11,0.0,7.682409614530002,2.4945698,10.214382937765809
87,2017,11,0.830291095,15.115958966249984,9.160524,16.961138114725976
88,2017,11,1.899034853,178.96776914684008,39.55145,250.3868501442334
89,2017,11,0.0,2.08472192462,3.751969,-0.14047735290627397
90,2017,11,0.0,0.2422912951,0.75037515,1.0039627058414722
91,2017,11,43.61654693,33.5848913444633,38.92773,17.46669581949109
92,2017,11,34.77031762,33.309293861173295,29.661554,13.023929028729773
93,2017,11,53.21410362,48.20609502948004,54.6258,39.624970238279914
94,2017,11,2.050531662,13.223165640659989,4.190999,9.680408895950336
95,2017,11,0.0,0.366718036485,1.2330735,1.1145405304566884
96,2017,11,0.0,3.156610949579999,6.9817843,2.7973068808250794
